SOURCE	TARGET	ENZYMES
C00025	C00328	
C00025	C00079	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C00624	2.3.1.1
C00025	C04640	
C00025	C00119	2.4.2.14
C00025	C00352	2.6.1.16
C00025	C01005	2.6.1.52
C00025	C05548	
C00025	C00957	;2.6.1.1;2.6.1.3
C00025	C01045	2.1.2.5
C00025	C00049	
C00025	C05928	6.3.2.17;6.3.2.12
C00025	CE2947	2.6.1.-
C00025	C00051	
C00140	C00159	2.7.1.1;3.2.1.25
C00140	C00645	;5.1.3.8
C00140	C01132	;3.2.1.52
C00147	C05841	2.4.2.1
C00147	C00294	2.4.2.1
C00147	C00242	2.4.2.1;2.4.2.8;2.4.2.4;2.4.2.7
C00147	C00330	2.4.2.1;2.4.2.4
C00147	C00119	2.4.2.8;2.4.2.7
C00147	C00170	
C00147	C00559	2.4.2.1;2.4.2.4
C00147	C00214	2.4.2.4
C00147	C00212	2.4.2.1
C01829	C00051	
C01829	C00127	;1.97.1.10
C00788	C05589	2.1.1.6;1.4.3.4
C00788	C03758	;2.1.1.6;2.8.2.1;1.4.3.6;1.4.3.4
C00788	C00780	
C00788	CE5536	
C00788	C05634	2.1.1.6;1.4.3.4
C00788	C00601	
C05647	C00780	
C05647	C05642	
C05647	C05648	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05647	C00643	
C05642	C00780	
C05642	C05648	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05642	C00643	
C00780	C03758	;4.1.1.28;1.14.14.1;1.4.3.4
C00780	C05648	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C05589	1.4.3.4
C00780	C00643	
C00780	C05634	1.4.3.4
C00780	C00601	
C05648	C00643	
C01582	C00267	
C01582	C05796	3.2.1.23
C01582	C00124	
C01582	C00221	
C01185	C05841	;3.1.3.5;2.4.2.11
C01185	C00294	
C01185	C00330	
C01185	C00119	2.4.2.19;2.4.2.11
C01185	C00055	
C01185	C00559	
C01185	C00214	
C01185	C00212	
C00159	C00137	
C00159	C00206	2.7.1.1
C00159	C00124	3.2.1.22
C00159	C00031	
C05796	C00267	
C05796	C00124	3.2.1.23
C05796	C00221	
C00957	C00302	2.6.1.1
C02934	C00836	1.1.1.102
C02336	C00267	3.2.1.20;3.2.1.48;2.7.1.1;3.2.1.26
C00221	C00267	3.2.1.21;3.2.1.23;2.7.1.2;2.7.1.1;5.1.3.3;2.7.1.147;3.1.3.9
C00221	C00124	
C03758	C05589	2.1.1.6;1.4.3.4
C03758	C05634	2.1.1.6;1.4.3.4
C03758	C00601	
C03758	CE2172	
C01239	C00049	3.5.1.26
C00718	C00267	3.2.1.33;3.2.1.1;3.2.1.3
C03691	C00128	;1.14.99.7;2.4.99.10;1.6.2.2;2.4.99.6;2.4.99.7;2.4.99.4;2.7.7.43;2.4.99.3;2.4.99.1;1.14.18.2;2.4.99.8;2.4.99.9
C03691	C03410	
C05839	C00031	3.2.1.21
C05841	C00294	
C05841	C00242	
C05841	C00330	
C05841	C00055	
C05841	C00559	
C05841	C00214	
C05841	C00212	
CE1918	C05634	1.2.1.3;1.4.3.4;1.2.3.1;2.1.1.6;1.1.1.1
C01005	C02532	3.1.3.3
C00645	C00074	2.5.1.57;2.5.1.56;2.7.1.60;;5.1.3.14;4.2.1.11;4.1.3.3;4.1.1.32;5.1.3.8;2.7.1.40
C00559	C00294	
C00559	C00242	
C00559	C00330	
C00559	C00055	
C00559	C00214	
C00559	C00212	
C00319	C00836	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00319	C00124	
C00095	C00206	2.7.1.1
C00095	C00031	3.2.1.20;3.2.1.22;2.7.1.1;1.1.1.21;3.2.1.26
C00079	C00049	
CE5541	CE5536	
C00074	C00206	2.7.1.40
C00242	C00294	2.4.2.1;3.1.3.5
C00242	C00330	2.4.2.1;3.1.3.5;2.4.2.4
C00242	C00119	2.4.2.8;2.4.2.7;2.4.2.22
C00242	C00214	
C00242	C00212	
C11713	C14787	
C11713	C14786	
C11714	C14787	
C11714	C14786	
C14787	C14786	
C14787	C14851	3.3.2.9;2.5.1.18;1.14.14.1;3.3.2.10
C14787	C14850	3.3.2.9;1.14.14.1;3.3.2.10
C14787	C14868	2.5.1.18
C14787	C00051	;2.5.1.18
C14786	C14851	3.3.2.9;2.5.1.18;1.14.14.1;3.3.2.10
C14786	C14850	3.3.2.9;1.14.14.1;3.3.2.10
C14786	C14868	2.5.1.18
C14786	C00051	;2.5.1.18
C16634	C00055	
C16634	C00206	
C16634	C00119	
C14851	C14868	2.5.1.18
C14851	C00051	2.5.1.18;2.5.1.28
C00570	C00055	;2.7.8.1;2.7.8.2
C00294	C00330	2.4.2.1;3.1.3.5
C00294	C00055	
C00294	C00214	
C00294	C00212	
C00352	C06377	3.5.1.25
C00352	C00206	
C04823	C00049	
C14868	C00051	
C00267	C00124	3.2.1.20;3.2.1.108;3.2.1.23;1.1.1.21
CE5240	C00051	
C03410	C00128	1.14.18.2;2.7.7.43
C00124	C00031	;3.2.1.20;3.2.1.108;1.1.1.21;3.2.1.22
C00124	C00137	3.2.1.22
C00127	C00051	;1.8.1.7;1.97.1.10;1.8.5.1;1.11.1.9;1.8.4.4;1.13.11.31;1.11.1.12
C00128	C04776	2.4.99.4
C00128	C00055	;2.4.99.10;2.4.99.6;2.4.99.7;2.4.99.4;2.4.99.3;2.4.99.1;2.4.99.8;2.4.99.9
CE5242	C00051	
CE5536	C00051	
CE5244	C00051	
C01042	C00049	6.3.4.4;6.3.4.5;2.6.1.21;3.5.1.26;6.3.5.4;1.4.3.2;4.1.1.11;3.5.1.15;3.5.1.38;4.1.1.15;2.6.1.1;1.4.3.16;2.3.1.17;6.3.2.6;3.5.1.8;6.1.1.12;3.5.1.1;2.1.3.2;1.4.1.21
C00055	C00330	3.1.3.5
C00055	C04776	2.4.99.4
C00055	C00137	2.7.8.11
C00055	C00214	3.1.3.5
C00055	C00206	2.7.1.48
C00055	C00212	3.1.3.5
C00601	C05589	1.4.3.4
C00601	C05634	1.4.3.4
C00214	C00330	3.1.3.5;2.4.2.4
C00214	C00212	
C00212	C00330	2.4.2.1;3.1.3.5
C05589	C05634	2.1.1.6;1.4.3.4
C00031	C00137	3.2.1.22
C00031	C00206	2.7.1.1
C05635	C05634	
C00206	C00738	
